OID_,FID_PeelHarveySW_rsites_grazing_1ha,restor_ha,SECONDARY_V8,Shape_Length,Shape_Area,alum_ha
1,0,2.427072491740000,3.2 Grazing modified pastures,0.033092659926319,0.000002346645625,2.427072500671572
2,1,1.057966180610000,3.2 Grazing modified pastures,0.017421193466490,0.000001022909749,1.057966242845896
3,2,1.288121902870000,4.2 Grazing irrigated modified pastures,0.008985777624753,0.000001247085003,1.288121656802778
4,3,1.558187461990000,3.2 Grazing modified pastures,0.021291152427076,0.000001503121033,1.558187044877229
5,4,1.173474883210000,3.2 Grazing modified pastures,0.008970299736853,0.000001127875695,1.173475776525033
6,5,2.698392549520000,3.2 Grazing modified pastures,0.010342920595284,0.000002618912162,2.698392641669648
7,6,15.899585949300000,3.2 Grazing modified pastures,0.036742148008309,0.000015430807306,15.899586286608754
8,7,1.000338014830000,3.2 Grazing modified pastures,0.012405581282675,0.000000970819736,1.000337992395450
9,8,1.703073544340000,3.2 Grazing modified pastures,0.018517881219619,0.000001652770751,1.703073620330519
10,9,1.032851787280000,3.2 Grazing modified pastures,0.013553953259441,0.000001002267797,1.032852172058336
11,10,2.891624657030000,3.2 Grazing modified pastures,0.028066565131631,0.000002805973657,2.891624388612041
12,11,1.272935931410000,3.2 Grazing modified pastures,0.012101808757112,0.000001235170766,1.272935759812558
13,12,1.949410075960000,3.2 Grazing modified pastures,0.015287394117006,0.000001891437234,1.949410539390070
14,13,5.084280436630000,3.2 Grazing modified pastures,0.032128724493596,0.000004932843831,5.084280539616261
15,14,43.626157921400001,3.2 Grazing modified pastures,0.038275600446917,0.000042173075463,43.626158282037899
16,15,2.697860327940000,3.2 Grazing modified pastures,0.020416553700360,0.000002608363586,2.697861169756006
17,16,2.209958861890000,3.2 Grazing modified pastures,0.028642414039351,0.000002133799096,2.209957736510323
18,17,2.416055325430000,3.2 Grazing modified pastures,0.020574928423868,0.000002331539669,2.416055122018070
19,18,1.135497493340000,3.2 Grazing modified pastures,0.012262336586786,0.000001095775976,1.135498072069395
20,19,11.492506138600000,3.2 Grazing modified pastures,0.049514901191703,0.000011088126897,11.492505855623845
21,20,2.227350040120000,3.2 Grazing modified pastures,0.016811956466587,0.000002146547084,2.227349196195741
22,21,1.407740692540000,3.2 Grazing modified pastures,0.014221864701342,0.000001355242085,1.407740862495809
23,22,1.535915836530000,3.2 Grazing modified pastures,0.016806551648201,0.000001476157678,1.535915014640022
24,23,5.115713666260000,3.2 Grazing modified pastures,0.032139523003129,0.000004916422588,5.115714528851181
25,24,1.980519738090000,3.2 Grazing modified pastures,0.025494469422661,0.000001903797006,1.980519913179910
26,25,3.242419286740000,3.2 Grazing modified pastures,0.025262596675127,0.000003116315384,3.242419123812706
27,26,13.500504102100001,3.2 Grazing modified pastures,0.037417378007363,0.000012975299007,13.500504928047507
28,27,1.168582367380000,3.2 Grazing modified pastures,0.015565120305337,0.000001123071427,1.168583660472014
29,28,1.450242142630000,3.2 Grazing modified pastures,0.013860389580026,0.000001392641948,1.450242290130375
30,29,4.602918403300000,3.2 Grazing modified pastures,0.033089517028334,0.000004420952377,4.602917100036143
31,30,21.342238522900001,3.2 Grazing modified pastures,0.071771620879832,0.000020712232379,21.342236993533337
32,31,15.830086470700000,3.2 Grazing modified pastures,0.043133699737409,0.000015363688932,15.830086404270276
33,32,4.031367152510000,3.2 Grazing modified pastures,0.033224860675631,0.000003912353615,4.031367377916598
34,33,9.355062559780000,3.2 Grazing modified pastures,0.047871513639664,0.000009077858595,9.355063186209861
35,34,37.199618055599998,3.2 Grazing modified pastures,0.089433981334695,0.000036099576828,37.199618631020186
36,35,15.237222202400000,3.2 Grazing modified pastures,0.062954498896873,0.000014785459005,15.237221492896770
37,36,8.305381842819999,3.2 Grazing modified pastures,0.038502950428533,0.000008058358161,8.305382345268487
38,37,8.261485436659999,3.2 Grazing modified pastures,0.043290709064231,0.000008014773244,8.261485355846784
39,38,4.624521838690000,3.2 Grazing modified pastures,0.050057210877891,0.000004461984184,4.624521295360474
40,39,31.879249309999999,3.2 Grazing modified pastures,0.159213122363471,0.000030643752900,31.879250613262407
41,40,47.891098430500001,3.2 Grazing modified pastures,0.144655615888770,0.000046481837548,47.891098373565818
42,41,2.147736215500000,3.2 Grazing modified pastures,0.009007940707682,0.000002067380404,2.147736471842848
43,42,1.271815186420000,3.2 Grazing modified pastures,0.010566762066426,0.000001222445662,1.271815848907290
