OID_,FID_PeelHarveySW_rsites_grazing_1ha,restor_ha,veg_type,Shape_Length,Shape_Area,PCveg_ha
1,0,2.427072491740000,3,0.004728875600964,0.000000207475209,0.214582399785025
2,0,2.427072491740000,14,0.030084193026898,0.000002139171041,2.212490748302724
3,1,1.057966180610000,3,0.009326508886001,0.000000448288018,0.463650294621211
4,1,1.057966180610000,14,0.010419655554608,0.000000574621235,0.594315435229908
5,2,1.288121902870000,3,0.008985775743521,0.000001247085393,1.288122059572712
6,3,1.558187461990000,3,0.007769342520869,0.000000534693767,0.554280937989998
7,3,1.558187461990000,9,0.015849222902144,0.000000968427807,1.003906667574598
8,4,1.173474883210000,9,0.008970300538573,0.000001127874207,1.173474227570462
9,5,2.698392549520000,6,0.010342915251470,0.000002618912247,2.698392729724510
10,6,15.899585949300000,6,0.031773992961500,0.000012279722365,12.652774399825335
11,6,15.899585949300000,14,0.010506623010896,0.000003151084330,3.246811257207946
12,7,1.000338014830000,14,0.012405578585309,0.000000970819909,1.000338171247853
13,8,1.703073544340000,14,0.018517876624179,0.000001652770832,1.703073703848794
14,9,1.032851787280000,14,0.013553949848316,0.000001002267691,1.032852063081473
15,10,2.891624657030000,14,0.028066568130152,0.000002805973942,2.891624681642393
16,11,1.272935931410000,14,0.012101800661102,0.000001235171048,1.272936050010874
17,12,1.949410075960000,14,0.015287393908091,0.000001891436510,1.949409793030112
18,13,5.084280436630000,14,0.032128716184099,0.000004932843494,5.084280192074515
19,14,43.626157921400001,14,0.038275585267587,0.000042173075025,43.626157829583100
20,15,2.697860327940000,3,0.020416554497744,0.000002608363078,2.697860644068396
21,16,2.209958861890000,51,0.028642421174150,0.000002133801245,2.209959961982150
22,17,2.416055325430000,3,0.020574932968042,0.000002331539754,2.416055209514086
23,18,1.135497493340000,3,0.012262350951221,0.000001095775498,1.135497576967737
24,19,11.492506138600000,9,0.027766120160693,0.000003351887888,3.474095749986100
25,19,11.492506138600000,51,0.031956158584778,0.000007736239526,8.018410641896816
26,20,2.227350040120000,3,0.016811965255203,0.000002146548718,2.227350892362188
27,21,1.407740692540000,101,0.014221863976684,0.000001355241814,1.407740581279619
28,22,1.535915836530000,3,0.008453649376715,0.000000756664149,0.787300926078724
29,22,1.535915836530000,9,0.010837937943856,0.000000719494699,0.748615306969174
30,23,5.115713666260000,3,0.032139521525903,0.000004916421484,5.115713379426405
31,24,1.980519738090000,9,0.025494471323571,0.000001903797137,1.980520049300708
32,25,3.242419286740000,9,0.025262584155287,0.000003116315654,3.242419404724628
33,26,13.500504102100001,3,0.016866325962931,0.000005175749983,5.385205751544332
34,26,13.500504102100001,9,0.028490005518786,0.000007799549011,8.115299162560015
35,27,1.168582367380000,3,0.013668825113114,0.000000641841771,0.667852426461080
36,27,1.168582367380000,9,0.003409089559893,0.000000481228162,0.500729678789319
37,28,1.450242142630000,3,0.013860373129506,0.000001392641675,1.450242005707534
38,29,4.602918403300000,3,0.033089511085844,0.000004420954328,4.602919131549764
39,30,21.342238522900001,6,0.028102309353552,0.000003212409292,3.310137460220798
40,30,21.342238522900001,14,0.050896963841844,0.000017499824159,18.032100637982403
41,31,15.830086470700000,3,0.030086156946239,0.000009050670919,9.325380981792971
42,31,15.830086470700000,14,0.021442800093365,0.000006313017436,6.504704827749624
43,32,4.031367152510000,14,0.033224849451132,0.000003912353471,4.031367229088007
44,33,9.355062559780000,14,0.047871510522926,0.000009077856164,9.355060680487220
45,34,37.199618055599998,3,0.008775083999256,0.000001141100969,1.175841334698687
46,34,37.199618055599998,14,0.085926612286448,0.000034958474896,36.023776303350900
47,35,15.237222202400000,14,0.062954515153552,0.000014785460705,15.237223244942752
48,36,8.305381842819999,14,0.038502956708914,0.000008058357740,8.305381911509455
49,37,8.261485436659999,14,0.043290716620014,0.000008014772111,8.261484187836317
50,38,4.624521838690000,9,0.050057208275627,0.000004461985096,4.624522241045510
51,39,31.879249309999999,9,0.159213132124411,0.000030643753314,31.879251043566040
52,40,47.891098430500001,3,0.057301283096370,0.000008187325362,8.435400997379549
53,40,47.891098430500001,6,0.003246248209815,0.000000111164459,0.114537401922464
54,40,47.891098430500001,14,0.101820048646041,0.000038183348444,39.341160712323983
55,41,2.147736215500000,101,0.009007937897873,0.000002067380210,2.147736270380100
56,42,1.271815186420000,9,0.010566765778864,0.000001222445425,1.271815601987219
