Rowid,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,0,1,6.94444E-07,81.18034363,81.18034363,0,81.18034363,0,81.18034363
2,1,2,1.38889E-06,86.20359039,86.96684265,0.763252258,86.58521652,0.381626129,173.170433
3,2,2,1.38889E-06,85.16265106,85.87741852,0.714767456,85.52003479,0.357383728,171.0400696
4,3,2,1.38889E-06,80.55164337,80.91361237,0.361968994,80.73262787,0.180984497,161.4652557
5,4,2,1.38889E-06,72.49110413,73.37042236,0.879318237,72.93076324,0.439659119,145.8615265
6,5,3,2.08333E-06,59.58394623,80.5127182,20.92877197,72.22062174,9.07964388,216.6618652
7,6,22,1.52778E-05,55.25257492,63.00769806,7.755123138,59.38667453,2.415363819,1306.50684
8,7,3,2.08333E-06,77.52179718,87.60072327,10.07892609,84.20425669,4.725427668,252.6127701
9,8,2,1.38889E-06,77.40055084,89.94790649,12.54735565,83.67422867,6.273677826,167.3484573
10,10,2,1.38889E-06,89.97039032,91.63752747,1.667137146,90.80395889,0.833568573,181.6079178
11,11,2,1.38889E-06,89.8931427,93.27896881,3.385826111,91.58605576,1.692913055,183.1721115
12,12,1,6.94444E-07,79.55934143,79.55934143,0,79.55934143,0,79.55934143
13,13,7,4.86111E-06,52.36008453,80.62870789,28.26862335,68.6268534,12.76512905,480.3879738
14,14,61,4.23611E-05,83.71069336,93.17041016,9.459716797,87.30517653,2.206108332,5325.615768
15,15,5,3.47222E-06,77.90833282,83.34449005,5.436157227,80.96123657,1.827671726,404.8061829
16,16,4,2.77778E-06,78.12373352,84.58792114,6.464187622,82.55029106,2.602691155,330.2011642
17,17,4,2.77778E-06,73.35155487,78.65400696,5.302452087,75.62971687,2.089097515,302.5188675
18,18,2,1.38889E-06,72.55004883,76.35682678,3.806777954,74.45343781,1.903388977,148.9068756
19,19,15,1.04167E-05,75.69739532,83.50826263,7.81086731,79.13516693,2.345829397,1187.027504
20,20,7,4.86111E-06,76.26181793,81.22966003,4.967842102,78.72241429,1.692231944,551.0569
21,21,3,2.08333E-06,77.37640381,80.59067535,3.214271545,79.22169495,1.354754424,237.6650848
22,22,2,1.38889E-06,72.16197968,73.22122192,1.059242249,72.6916008,0.529621124,145.3832016
23,23,8,5.55556E-06,67.88744354,78.01506805,10.12762451,72.02898502,2.901459666,576.2318802
24,24,4,2.77778E-06,69.00658417,75.5284729,6.521888733,71.76675034,2.404993752,287.0670013
25,25,7,4.86111E-06,53.75526428,62.50442505,8.749160767,58.05213438,3.348157858,406.3649406
26,26,20,1.38889E-05,50.56502533,57.75559998,7.190574646,53.64809074,1.831578999,1072.961815
27,27,2,1.38889E-06,68.59590912,68.82240295,0.226493835,68.70915604,0.113246918,137.4183121
28,28,3,2.08333E-06,71.03323364,71.81784058,0.784606934,71.50284322,0.338457988,214.5085297
29,29,7,4.86111E-06,64.88591766,74.38690948,9.500991821,70.22221484,3.260200758,491.5555038
30,30,29,2.01389E-05,53.73038101,81.84780884,28.11742783,65.52935567,9.289416453,1900.351315
31,31,23,1.59722E-05,76.6423645,89.52559662,12.88323212,83.65695588,3.678631751,1924.109985
32,32,6,4.16667E-06,78.21987915,91.45360565,13.2337265,85.76749039,4.403579161,514.6049423
33,33,14,9.72222E-06,62.49890518,89.04925537,26.55035019,68.23697117,6.268269774,955.3175964
34,34,54,3.75E-05,62.66395187,92.54439545,29.88044357,84.61438942,6.965673594,4569.177029
35,35,20,1.38889E-05,85.19373322,92.66867828,7.474945068,89.02432327,2.147461012,1780.486465
36,36,13,9.02778E-06,46.80784225,78.99343109,32.18558884,51.92024407,7.983918024,674.9631729
37,37,13,9.02778E-06,52.16230011,59.01458359,6.852283478,55.31471634,2.11541811,719.0913124
38,38,7,4.86111E-06,74.7145462,83.39664459,8.682098389,79.27950505,2.476984268,554.9565353
39,39,41,2.84722E-05,67.93036652,78.13584137,10.20547485,72.01091283,2.121550893,2952.447426
40,40,68,4.72222E-05,52.4440155,93.58358002,41.13956451,86.30667025,6.881640121,5868.853577
41,41,3,2.08333E-06,56.15364075,59.22302246,3.069381714,58.10083644,1.382210002,174.3025093
